,Year,CountyIds, Crop Name, Production, Unit,Price P/I ($), Price P/U,Total Value($)
883,2018,53,GRAPES WINE ,180000.0,Tons ,0.01,1376.43,247758000.0
884,2018,55,GRAPES WINE ,185000.0,Tons ,0.03,5614.05,1038600000.0
885,2018,57,GRAPES WINE ,1880.0,Tons ,0.68,1284.57,2415000.0
912,2018,1,HAY ALFALFA ,446.0,Tons ,0.55,244.39,109000.0
913,2018,5,HAY ALFALFA ,10600.0,Tons ,0.02,199.25,2112000.0
914,2018,7,HAY ALFALFA ,3080.0,Tons ,0.07,214.61,661000.0
915,2018,11,HAY ALFALFA ,47200.0,Tons ,0.0,196.25,9263000.0
916,2018,13,HAY ALFALFA ,8560.0,Tons ,0.02,196.73,1684000.0
917,2018,19,HAY ALFALFA ,235000.0,Tons ,0.0,225.0,52875000.0
918,2018,21,HAY ALFALFA ,64900.0,Tons ,0.0,189.04,12269000.0
919,2018,25,HAY ALFALFA ,1170000.0,Tons ,0.0,186.71,218455000.0
921,2018,29,HAY ALFALFA ,566000.0,Tons ,0.0,203.16,114991000.0
922,2018,31,HAY ALFALFA ,218000.0,Tons ,0.0,212.07,46232000.0
923,2018,35,HAY ALFALFA ,110000.0,Tons ,0.0,187.58,20634000.0
924,2018,39,HAY ALFALFA ,72600.0,Tons ,0.0,214.08,15542000.0
925,2018,47,HAY ALFALFA ,401000.0,Tons ,0.0,211.69,84888000.0
926,2018,49,HAY ALFALFA ,214000.0,Tons ,0.0,189.58,40570000.0
928,2018,53,HAY ALFALFA ,6100.0,Tons ,0.02,110.0,671000.0
948,2018,9,HAY GRAIN ,363.0,Tons ,0.32,115.98,42100.0
949,2018,11,HAY GRAIN ,9910.0,Tons ,0.02,174.97,1734000.0
950,2018,13,HAY GRAIN ,10400.0,Tons ,0.01,93.75,975000.0
951,2018,19,HAY GRAIN ,61700.0,Tons ,0.0,169.0,10427000.0
952,2018,29,HAY GRAIN ,40700.0,Tons ,0.0,145.55,5924000.0
953,2018,31,HAY GRAIN ,12200.0,Tons ,0.01,153.61,1874000.0
954,2018,35,HAY GRAIN ,30400.0,Tons ,0.0,137.34,4175000.0
955,2018,39,HAY GRAIN ,11900.0,Tons ,0.01,166.3,1979000.0
956,2018,47,HAY GRAIN ,147000.0,Tons ,0.0,154.87,22766000.0
957,2018,49,HAY GRAIN ,70800.0,Tons ,0.0,124.94,8846000.0
958,2018,53,HAY GRAIN ,814.0,Tons ,0.14,109.95,89500.0
959,2018,55,HAY GRAIN ,1740.0,Tons ,0.07,116.09,202000.0
983,2018,1,HAY OTHER UNSPECIFIED ,7930.0,Tons ,0.02,137.45,1090000.0
984,2018,3,HAY OTHER UNSPECIFIED ,1500.0,Tons ,0.16,240.0,360000.0
986,2018,15,HAY OTHER UNSPECIFIED ,9860.0,Tons ,0.02,242.09,2387000.0
987,2018,17,HAY OTHER UNSPECIFIED ,200.0,Tons ,0.95,190.0,38000.0
988,2018,19,HAY OTHER UNSPECIFIED ,7970.0,Tons ,0.03,242.03,1929000.0
989,2018,21,HAY OTHER UNSPECIFIED ,2570.0,Tons ,0.05,131.13,337000.0
990,2018,23,HAY OTHER UNSPECIFIED ,28500.0,Tons ,0.01,185.19,5278000.0
991,2018,25,HAY OTHER UNSPECIFIED ,802000.0,Tons ,0.0,170.26,136550000.0
992,2018,29,HAY OTHER UNSPECIFIED ,16000.0,Tons ,0.01,147.81,2365000.0
993,2018,35,HAY OTHER UNSPECIFIED ,142000.0,Tons ,0.0,206.76,29360000.0
994,2018,41,HAY OTHER UNSPECIFIED ,4220.0,Tons ,0.03,139.1,587000.0
1010,2018,25,HAY SUDAN ,343000.0,Tons ,0.0,153.67,52708000.0
1011,2018,31,HAY SUDAN ,8880.0,Tons ,0.02,133.9,1189000.0
1012,2018,47,HAY SUDAN ,42800.0,Tons ,0.0,83.53,3575000.0
1019,2018,49,HAY WILD ,35400.0,Tons ,0.01,259.86,9199000.0
1039,2018,49,HORSERADISH ,833.0,Tons ,0.6,499.4,416000.0
1042,2018,19,JOJOBA ,28.0,Lbs ,122.83,3439.29,96300.0
1044,2018,53,KALE ,26900.0,Tons ,0.07,1790.0,48151000.0
1050,2018,7,KIWIFRUIT ,3140.0,Tons ,0.21,662.1,2079000.0
1060,2018,53,LEEKS ,7830.0,Tons ,0.18,1390.04,10884000.0
1064,2018,19,LEMONS ALL ,42700.0,Tons ,0.02,806.0,34416000.0
1065,2018,25,LEMONS ALL ,58400.0,Tons ,0.01,749.06,43745000.0
1066,2018,29,LEMONS ALL ,55500.0,Tons ,0.02,1383.17,76766000.0
1067,2018,53,LEMONS ALL ,41200.0,Tons ,0.02,1010.0,41612000.0
1080,2018,19,LETTUCE HEAD ,125000.0,Tons ,0.0,350.08,43760000.0
1081,2018,25,LETTUCE HEAD ,284000.0,Tons ,0.0,405.5,115162000.0
1082,2018,53,LETTUCE HEAD ,954000.0,Tons ,0.0,481.61,459452000.0
1090,2018,19,LETTUCE LEAF ,62300.0,Tons ,0.01,500.0,31150000.0
1091,2018,25,LETTUCE LEAF ,98700.0,Tons ,0.01,1242.42,122627000.0
1092,2018,53,LETTUCE LEAF ,185000.0,Tons ,0.0,776.55,143661000.0
1100,2018,25,LETTUCE ROMAINE ,102000.0,Tons ,0.01,542.85,55371000.0
1101,2018,53,LETTUCE ROMAINE ,835000.0,Tons ,0.0,700.18,584651000.0
1107,2018,49,LETTUCE UNSPECIFIED ,603.0,Tons ,4.12,2482.59,1497000.0
1193,2018,19,MELONS CANTALOUPE ,235000.0,Tons ,0.0,331.0,77785000.0
1194,2018,25,MELONS CANTALOUPE ,55000.0,Tons ,0.01,445.11,24481000.0
1195,2018,47,MELONS CANTALOUPE ,37000.0,Tons ,0.01,248.05,9178000.0
1199,2018,19,MELONS HONEYDEW ,81000.0,Tons ,0.01,448.0,36288000.0
1200,2018,25,MELONS HONEYDEW ,17200.0,Tons ,0.03,596.57,10261000.0
1205,2018,19,MELONS UNSPECIFIED ,42200.0,Tons ,0.02,661.0,27894000.0
1206,2018,47,MELONS UNSPECIFIED ,13900.0,Tons ,0.02,265.54,3691000.0
1212,2018,19,MELONS WATERMELON ,31200.0,Tons ,0.01,434.01,13541000.0
1213,2018,25,MELONS WATERMELON ,45200.0,Tons ,0.01,398.41,18008000.0
1214,2018,29,MELONS WATERMELON ,76000.0,Tons ,0.0,342.59,26037000.0
1255,2018,49,MINT ,88.0,Tons ,452.74,39840.91,3506000.0
1260,2018,53,MUSHROOMS ,23000.0,Tons ,0.18,4141.78,95261000.0
1263,2018,13,NECTARINES ,107.0,Tons ,29.35,3140.19,336000.0
1264,2018,19,NECTARINES ,112000.0,Tons ,0.01,1291.0,144592000.0
1265,2018,29,NECTARINES ,1410.0,Tons ,1.17,1643.97,2318000.0
1266,2018,31,NECTARINES ,10800.0,Tons ,0.12,1336.3,14432000.0
1396,2018,21,OATS GRAIN ,9030.0,Tons ,0.02,172.98,1562000.0
1406,2018,7,OLIVES ,5740.0,Tons ,0.13,749.3,4301000.0
1407,2018,9,OLIVES ,7.0,Tons ,41.84,292.86,2050.0
1408,2018,11,OLIVES ,1430.0,Tons ,0.5,709.79,1015000.0
1409,2018,13,OLIVES ,370.0,Tons ,2.32,859.46,318000.0
1411,2018,21,OLIVES ,29100.0,Tons ,0.03,975.15,28377000.0
1412,2018,29,OLIVES ,320.0,Tons ,3.21,1028.13,329000.0
1413,2018,39,OLIVES ,1950.0,Tons ,0.54,1049.23,2046000.0
1414,2018,55,OLIVES ,51.0,Tons ,39.98,2039.22,104000.0
1425,2018,19,ONIONS ,444000.0,Tons ,0.0,830.0,368520000.0
1426,2018,25,ONIONS ,433000.0,Tons ,0.0,227.82,98644000.0
1427,2018,29,ONIONS ,221000.0,Tons ,0.0,173.07,38249000.0
1428,2018,49,ONIONS ,31100.0,Tons ,0.01,170.16,5292000.0
1429,2018,53,ONIONS ,76500.0,Tons ,0.01,500.0,38250000.0
1440,2018,19,ORANGES NAVEL ,359000.0,Tons ,0.0,548.89,197050000.0
1441,2018,29,ORANGES NAVEL ,391000.0,Tons ,0.0,1001.48,391579000.0
1448,2018,39,ORANGES UNSPECIFIED ,43400.0,Tons ,0.01,533.34,23147000.0
1452,2018,19,ORANGES VALENCIA ,22000.0,Tons ,0.03,685.27,15076000.0
1453,2018,29,ORANGES VALENCIA ,87500.0,Tons ,0.01,962.38,84208000.0
1460,2018,53,PARSLEY ,2990.0,Tons ,0.47,1400.0,4186000.0
1576,2018,7,PEACHES CLINGSTONE ,21000.0,Tons ,0.02,470.0,9870000.0
1577,2018,19,PEACHES CLINGSTONE ,23000.0,Tons ,0.02,508.0,11684000.0
1578,2018,31,PEACHES CLINGSTONE ,14300.0,Tons ,0.03,476.36,6812000.0
1579,2018,39,PEACHES CLINGSTONE ,4830.0,Tons ,0.1,499.59,2413000.0
1580,2018,47,PEACHES CLINGSTONE ,24800.0,Tons ,0.02,476.01,11805000.0
1588,2018,19,PEACHES FREESTONE ,155000.0,Tons ,0.01,1354.0,209870000.0
1589,2018,31,PEACHES FREESTONE ,18100.0,Tons ,0.07,1326.41,24008000.0
1590,2018,39,PEACHES FREESTONE ,7620.0,Tons ,0.08,608.27,4635000.0
1591,2018,47,PEACHES FREESTONE ,18800.0,Tons ,0.02,406.6,7644000.0
1597,2018,13,PEACHES UNSPECIFIED ,522.0,Tons ,5.7,2977.01,1554000.0
1598,2018,17,PEACHES UNSPECIFIED ,317.0,Tons ,10.35,3280.76,1040000.0
1605,2018,17,PEARS ASIAN ,244.0,Tons ,15.92,3885.25,948000.0
1606,2018,19,PEARS ASIAN ,10400.0,Tons ,0.16,1647.02,17129000.0
1609,2018,17,PEARS BARTLETT ,298.0,Tons ,14.93,4449.66,1326000.0
1610,2018,33,PEARS BARTLETT ,33600.0,Tons ,0.02,602.29,20237000.0
1611,2018,45,PEARS BARTLETT ,19400.0,Tons ,0.03,533.92,10358000.0
1615,2018,33,PEARS UNSPECIFIED ,1300.0,Tons ,0.56,721.54,938000.0
1616,2018,45,PEARS UNSPECIFIED ,2840.0,Tons ,0.37,1041.2,2957000.0
1630,2018,21,PECANS ,677.0,Tons ,4.43,3000.0,2031000.0
1634,2018,19,PEPPERS BELL ,39200.0,Tons ,0.01,455.0,17836000.0
1635,2018,29,PEPPERS BELL ,39700.0,Tons ,0.03,1049.72,41674000.0
1636,2018,53,PEPPERS BELL ,12800.0,Tons ,0.03,390.0,4992000.0
1649,2018,19,PERSIMMONS ,6300.0,Tons ,0.18,1136.03,7157000.0
1658,2018,7,PISTACHIOS ,650.0,Tons ,7.38,4800.0,3120000.0
1659,2018,19,PISTACHIOS ,214000.0,Tons ,0.02,4005.0,857070000.0
1660,2018,21,PISTACHIOS ,3210.0,Tons ,1.05,3381.31,10854000.0
1661,2018,29,PISTACHIOS ,256000.0,Tons ,0.02,4468.64,1143972000.0
1662,2018,31,PISTACHIOS ,67300.0,Tons ,0.06,4260.7,286745000.0
1663,2018,39,PISTACHIOS ,63300.0,Tons ,0.07,4685.66,296602000.0
1664,2018,47,PISTACHIOS ,6190.0,Tons ,0.71,4414.7,27327000.0
1669,2018,19,PLUMCOTS ,5850.0,Tons ,0.21,1215.04,7108000.0
1672,2018,13,PLUMS ,198.0,Tons ,13.37,2646.46,524000.0
1673,2018,17,PLUMS ,60.0,Tons ,63.89,3833.33,230000.0
1674,2018,19,PLUMS ,82600.0,Tons ,0.02,1244.0,102754000.0
1675,2018,31,PLUMS ,16600.0,Tons ,0.1,1684.16,27957000.0
1679,2018,7,PLUMS DRIED ,15900.0,Tons ,0.12,1980.5,31490000.0
1680,2018,11,PLUMS DRIED ,2060.0,Tons ,1.02,2100.49,4327000.0
1681,2018,19,PLUMS DRIED ,2110.0,Tons ,0.83,1756.87,3707000.0
1682,2018,21,PLUMS DRIED ,5910.0,Tons ,0.32,1920.3,11349000.0
1683,2018,39,PLUMS DRIED ,3210.0,Tons ,0.71,2277.57,7311000.0
1684,2018,47,PLUMS DRIED ,2570.0,Tons ,0.79,2028.02,5212000.0
1694,2018,19,POMEGRANATES ,37200.0,Tons ,0.03,963.01,35824000.0
1700,2018,25,POTATOES ALL ,26200.0,Tons ,0.03,698.24,18294000.0
1701,2018,29,POTATOES ALL ,340000.0,Tons ,0.0,257.29,87477000.0
1702,2018,49,POTATOES ALL ,116000.0,Tons ,0.0,158.99,18443000.0
1710,2018,47,POTATOES SWEET ,239000.0,Tons ,0.0,901.45,215447000.0
1736,2018,53,RADISHES ,2440.0,Tons ,0.45,1090.16,2660000.0
1742,2018,7,RICE MILLING ,424000.0,Tons ,0.0,380.31,161253000.0
1743,2018,11,RICE MILLING ,650000.0,Tons ,0.0,359.81,233874000.0
1744,2018,21,RICE MILLING ,392000.0,Tons ,0.0,326.31,127914000.0
1753,2018,7,RICE SEED ,24600.0,Tons ,0.02,399.92,9838000.0
1754,2018,11,RICE SEED ,40600.0,Tons ,0.01,340.1,13808000.0
1755,2018,21,RICE SEED ,9480.0,Tons ,0.04,399.79,3790000.0
1757,2018,35,RICE WILD ,1640.0,Tons ,1.05,1715.24,2813000.0
1758,2018,49,RICE WILD ,2150.0,Tons ,0.61,1302.33,2800000.0
1771,2018,11,SAFFLOWER ,2950.0,Tons ,0.14,400.0,1180000.0
1779,2018,25,SALAD GREENS MISC. ,14000.0,Tons ,0.08,1161.14,16256000.0
1780,2018,53,SALAD GREENS MISC. ,38100.0,Tons ,0.03,981.99,37414000.0
1784,2018,19,SEED ALFALFA ,1550.0,Tons ,4.19,6501.94,10078000.0
1785,2018,25,SEED ALFALFA ,11700.0,Tons ,0.5,5851.2,68459000.0
1789,2018,25,SEED BERMUDA GRASS ,1670.0,Tons ,6.51,10868.86,18151000.0
1848,2018,19,SILAGE ,163000.0,Tons ,0.0,53.0,8639000.0
1849,2018,21,SILAGE ,65600.0,Tons ,0.0,38.98,2557000.0
1850,2018,29,SILAGE ,2141000.0,Tons ,0.0,40.89,87538000.0
1851,2018,31,SILAGE ,932000.0,Tons ,0.0,39.67,36974000.0
1852,2018,39,SILAGE ,352000.0,Tons ,0.0,35.69,12564000.0
1853,2018,41,SILAGE ,13200.0,Tons ,0.0,63.71,841000.0
1854,2018,47,SILAGE ,1329000.0,Tons ,0.0,30.63,40713000.0
1866,2018,31,SORGHUM SILAGE ,256000.0,Tons ,0.0,39.16,10024000.0
1873,2018,53,SPICES AND HERBS ,9360.0,Tons ,0.19,1750.0,16380000.0
1879,2018,53,SPINACH FOOD SERVICE ,122000.0,Tons ,0.01,984.0,120048000.0
1881,2018,53,SPINACH FRESH MARKET ,16200.0,Tons ,0.09,1440.0,23328000.0
1886,2018,25,SPINACH UNSPECIFIED ,49100.0,Tons ,0.03,1716.72,84291000.0
1894,2018,19,SQUASH ,7320.0,Tons ,0.09,659.02,4824000.0
1895,2018,53,SQUASH ,1360.0,Tons ,0.43,580.88,790000.0
1912,2018,25,SUGAR BEETS ,1165000.0,Tons ,0.0,47.1,54868000.0
1914,2018,11,SUNFLOWER SEED PLANTING ,7380.0,Tons ,0.52,3840.92,28346000.0
1915,2018,21,SUNFLOWER SEED PLANTING ,2570.0,Tons ,1.56,4001.17,10283000.0
1919,2018,53,SWISS CHARD ,10200.0,Tons ,0.15,1490.0,15198000.0
1922,2018,25,TANGELOS ,2530.0,Tons ,0.22,554.15,1402000.0
1926,2018,19,TANGERINES & MANDARINS ,149000.0,Tons ,0.01,1544.0,230056000.0
1927,2018,25,TANGERINES & MANDARINS ,4280.0,Tons ,0.18,753.74,3226000.0
1928,2018,29,TANGERINES & MANDARINS ,274000.0,Tons ,0.01,1715.01,469912000.0
1938,2018,19,TOMATOES FRESH MARKET ,160000.0,Tons ,0.0,102.0,16320000.0
1939,2018,39,TOMATOES FRESH MARKET ,16000.0,Tons ,0.03,469.0,7504000.0
1940,2018,47,TOMATOES FRESH MARKET ,91900.0,Tons ,0.0,400.24,36782000.0
1948,2018,11,TOMATOES PROCESSING ,693000.0,Tons ,0.0,71.01,49209000.0
1949,2018,19,TOMATOES PROCESSING ,4358000.0,Tons ,0.0,68.0,296344000.0
1950,2018,21,TOMATOES PROCESSING ,58200.0,Tons ,0.0,72.06,4194000.0
1951,2018,29,TOMATOES PROCESSING ,370000.0,Tons ,0.0,79.04,29246000.0
1952,2018,31,TOMATOES PROCESSING ,2013000.0,Tons ,0.0,73.7,148368000.0
1953,2018,39,TOMATOES PROCESSING ,334000.0,Tons ,0.0,72.05,24066000.0
1954,2018,47,TOMATOES PROCESSING ,1137000.0,Tons ,0.0,71.5,81293000.0
1963,2018,13,TOMATOES UNSPECIFIED ,215000.0,Tons ,0.0,71.68,15412000.0
2037,2018,5,WALNUTS ENGLISH ,342.0,Tons ,2.63,900.58,308000.0
2038,2018,7,WALNUTS ENGLISH ,122000.0,Tons ,0.01,1266.87,154558000.0
2039,2018,9,WALNUTS ENGLISH ,841.0,Tons ,1.9,1601.66,1347000.0
2040,2018,11,WALNUTS ENGLISH ,44400.0,Tons ,0.03,1376.89,61134000.0
2041,2018,13,WALNUTS ENGLISH ,878.0,Tons ,1.77,1552.39,1363000.0
