,Year, County Code, Crop Name, Production, Unit,Price P/I ($), Price P/U,Total Value($)
275,2017,59,BERRIES STRAWBERRIES UNSPECIFIED ,8940.0,Tons ,0.25,2213.87,19792000.0
276,2017,61,BERRIES STRAWBERRIES UNSPECIFIED ,15.0,Tons ,506.67,7600.0,114000.0
277,2017,65,BERRIES STRAWBERRIES UNSPECIFIED ,4000.0,Tons ,0.48,1900.0,7600000.0
278,2017,71,BERRIES STRAWBERRIES UNSPECIFIED ,1160.0,Tons ,1.68,1951.72,2264000.0
279,2017,73,BERRIES STRAWBERRIES UNSPECIFIED ,7250.0,Tons ,0.34,2500.0,18125000.0
280,2017,87,BERRIES STRAWBERRIES UNSPECIFIED ,107000.0,Tons ,0.02,1973.79,211196000.0
281,2017,991,BERRIES STRAWBERRIES UNSPECIFIED ,241.0,Tons ,25.89,6239.75,1503780.0
292,2017,53,BROCCOLI FOOD SERVICE ,88400.0,Tons ,0.01,948.0,83803000.0
294,2017,25,BROCCOLI FRESH MARKET ,79200.0,Tons ,0.02,1197.05,94806000.0
295,2017,53,BROCCOLI FRESH MARKET ,284000.0,Tons ,0.0,1150.0,326600000.0
298,2017,107,BROCCOLI PROCESSING ,4360.0,Tons ,0.15,660.09,2878000.0
300,2017,19,BROCCOLI UNSPECIFIED ,25500.0,Tons ,0.04,1133.02,28892000.0
301,2017,65,BROCCOLI UNSPECIFIED ,19100.0,Tons ,0.05,934.5,17849000.0
302,2017,69,BROCCOLI UNSPECIFIED ,11000.0,Tons ,0.11,1192.36,13116000.0
303,2017,79,BROCCOLI UNSPECIFIED ,34300.0,Tons ,0.04,1253.53,42996000.0
304,2017,83,BROCCOLI UNSPECIFIED ,129000.0,Tons ,0.01,1229.93,158661000.0
305,2017,85,BROCCOLI UNSPECIFIED ,4450.0,Tons ,0.2,882.25,3926000.0
306,2017,111,BROCCOLI UNSPECIFIED ,1230.0,Tons ,1.23,1508.94,1856000.0
307,2017,991,BROCCOLI UNSPECIFIED ,4699.0,Tons ,0.24,1140.63,5359800.0
309,2017,53,BRUSSELS SPROUTS ,34100.0,Tons ,0.07,2240.0,76384000.0
310,2017,81,BRUSSELS SPROUTS ,6720.0,Tons ,0.3,1998.96,13433000.0
311,2017,87,BRUSSELS SPROUTS ,13700.0,Tons ,0.1,1417.3,19417000.0
312,2017,991,BRUSSELS SPROUTS ,511.0,Tons ,6.01,3072.58,1570090.0
314,2017,53,CABBAGE CHINESE & SPECIALTY ,10900.0,Tons ,0.08,907.52,9892000.0
315,2017,71,CABBAGE CHINESE & SPECIALTY ,46000.0,Tons ,0.01,230.2,10589000.0
316,2017,991,CABBAGE CHINESE & SPECIALTY ,18180.0,Tons ,0.03,580.59,10555200.0
318,2017,25,CABBAGE HEAD ,28200.0,Tons ,0.03,960.25,27079000.0
319,2017,53,CABBAGE HEAD ,102000.0,Tons ,0.0,406.82,41496000.0
320,2017,65,CABBAGE HEAD ,4400.0,Tons ,0.15,680.45,2994000.0
321,2017,83,CABBAGE HEAD ,30800.0,Tons ,0.01,388.96,11980000.0
322,2017,85,CABBAGE HEAD ,5480.0,Tons ,0.09,468.8,2569000.0
323,2017,111,CABBAGE HEAD ,90800.0,Tons ,0.0,373.56,33919000.0
324,2017,991,CABBAGE HEAD ,13963.0,Tons ,0.03,427.93,5975220.0
326,2017,53,CARROTS FOOD SERVICE ,42800.0,Tons ,0.01,370.0,15836000.0
328,2017,25,CARROTS FRESH MARKET ,121000.0,Tons ,0.0,109.62,13264000.0
329,2017,53,CARROTS FRESH MARKET ,27300.0,Tons ,0.02,593.99,16216000.0
331,2017,25,CARROTS PROCESSING ,365000.0,Tons ,0.0,114.42,41765000.0
333,2017,65,CARROTS UNSPECIFIED ,220000.0,Tons ,0.0,150.0,33000000.0
334,2017,71,CARROTS UNSPECIFIED ,291.0,Tons ,1.75,508.59,148000.0
335,2017,93,CARROTS UNSPECIFIED ,12200.0,Tons ,0.01,99.59,1215000.0
336,2017,111,CARROTS UNSPECIFIED ,6510.0,Tons ,0.03,173.12,1127000.0
337,2017,991,CARROTS UNSPECIFIED ,1016303.0,Tons ,0.0,421.76,428638040.0
456,2017,53,CAULIFLOWER FOOD SERVICE ,28100.0,Tons ,0.03,840.0,23604000.0
458,2017,25,CAULIFLOWER FRESH MARKET ,40800.0,Tons ,0.03,1123.97,45858000.0
459,2017,53,CAULIFLOWER FRESH MARKET ,153000.0,Tons ,0.01,1180.0,180540000.0
460,2017,991,CAULIFLOWER FRESH MARKET ,208.0,Tons ,18.85,3920.53,815470.0
462,2017,65,CAULIFLOWER UNSPECIFIED ,10500.0,Tons ,0.1,998.1,10480000.0
463,2017,79,CAULIFLOWER UNSPECIFIED ,26000.0,Tons ,0.03,894.35,23253000.0
464,2017,83,CAULIFLOWER UNSPECIFIED ,91100.0,Tons ,0.01,1033.14,94119000.0
465,2017,991,CAULIFLOWER UNSPECIFIED ,3877.0,Tons ,0.22,851.2,3300100.0
467,2017,53,CELERY FOOD SERVICE ,30300.0,Tons ,0.01,430.99,13059000.0
469,2017,53,CELERY FRESH MARKET ,349000.0,Tons ,0.0,460.0,160540000.0
471,2017,65,CELERY UNSPECIFIED ,20500.0,Tons ,0.02,383.32,7858000.0
472,2017,69,CELERY UNSPECIFIED ,15400.0,Tons ,0.04,586.04,9025000.0
473,2017,79,CELERY UNSPECIFIED ,15300.0,Tons ,0.04,549.35,8405000.0
474,2017,83,CELERY UNSPECIFIED ,131000.0,Tons ,0.0,404.58,53000000.0
475,2017,111,CELERY UNSPECIFIED ,442000.0,Tons ,0.0,476.04,210408000.0
476,2017,991,CELERY UNSPECIFIED ,29184.0,Tons ,0.02,729.2,21280899.0
478,2017,13,CHERRIES SWEET ,1680.0,Tons ,2.14,3591.07,6033000.0
479,2017,17,CHERRIES SWEET ,23.0,Tons ,370.51,8521.74,196000.0
480,2017,19,CHERRIES SWEET ,13500.0,Tons ,0.25,3389.04,45752000.0
481,2017,29,CHERRIES SWEET ,19500.0,Tons ,0.23,4534.87,88430000.0
482,2017,31,CHERRIES SWEET ,4750.0,Tons ,1.24,5873.89,27901000.0
483,2017,39,CHERRIES SWEET ,2020.0,Tons ,2.14,4315.84,8718000.0
484,2017,65,CHERRIES SWEET ,20.0,Tons ,185.0,3700.0,74000.0
485,2017,67,CHERRIES SWEET ,3450.0,Tons ,0.9,3108.12,10723000.0
486,2017,69,CHERRIES SWEET ,184.0,Tons ,24.43,4494.57,827000.0
487,2017,77,CHERRIES SWEET ,61800.0,Tons ,0.05,2986.6,184572000.0
488,2017,85,CHERRIES SWEET ,4410.0,Tons ,0.58,2538.1,11193000.0
489,2017,99,CHERRIES SWEET ,7700.0,Tons ,0.45,3492.99,26896000.0
490,2017,107,CHERRIES SWEET ,3850.0,Tons ,0.93,3580.0,13783000.0
491,2017,991,CHERRIES SWEET ,8939.0,Tons ,0.15,1376.72,12306500.0
504,2017,991,CHIVES ,802.0,Tons ,5.88,4711.97,3779000.0
521,2017,53,CILANTRO ,8700.0,Tons ,0.13,1120.0,9744000.0
522,2017,111,CILANTRO ,32400.0,Tons ,0.02,774.66,25099000.0
523,2017,991,CILANTRO ,15673.0,Tons ,0.08,1275.2,19986155.0
529,2017,7,CITRUS UNSPECIFIED ,742.0,Tons ,2.7,2000.0,1484000.0
530,2017,19,CITRUS UNSPECIFIED ,22900.0,Tons ,0.02,564.72,12932000.0
531,2017,21,CITRUS UNSPECIFIED ,1460.0,Tons ,1.19,1731.51,2528000.0
532,2017,65,CITRUS UNSPECIFIED ,4690.0,Tons ,0.28,1315.35,6169000.0
535,2017,991,CITRUS UNSPECIFIED ,1348.0,Tons ,0.6,802.66,1081990.0
537,2017,991,COLLARD GREENS ,4360.0,Tons ,0.1,443.32,1932880.0
539,2017,11,CORN GRAIN ,14300.0,Tons ,0.01,154.27,2206000.0
540,2017,13,CORN GRAIN ,8790.0,Tons ,0.02,155.18,1364000.0
541,2017,21,CORN GRAIN ,74100.0,Tons ,0.0,153.95,11408000.0
542,2017,39,CORN GRAIN ,1690.0,Tons ,0.15,259.17,438000.0
543,2017,47,CORN GRAIN ,33400.0,Tons ,0.01,240.66,8038000.0
544,2017,67,CORN GRAIN ,106000.0,Tons ,0.0,143.52,15213000.0
545,2017,77,CORN GRAIN ,235000.0,Tons ,0.0,158.59,37268000.0
546,2017,95,CORN GRAIN ,24200.0,Tons ,0.01,149.42,3616000.0
547,2017,101,CORN GRAIN ,87200.0,Tons ,0.0,148.07,12912000.0
548,2017,103,CORN GRAIN ,2440.0,Tons ,0.06,154.51,377000.0
549,2017,107,CORN GRAIN ,19000.0,Tons ,0.01,186.0,3534000.0
550,2017,113,CORN GRAIN ,27700.0,Tons ,0.01,158.01,4377000.0
551,2017,991,CORN GRAIN ,116890.0,Tons ,0.0,20.05,2344000.0
553,2017,19,CORN SILAGE ,507000.0,Tons ,0.0,45.0,22815000.0
554,2017,21,CORN SILAGE ,38600.0,Tons ,0.0,35.98,1389000.0
555,2017,31,CORN SILAGE ,1116000.0,Tons ,0.0,41.8,46652000.0
556,2017,39,CORN SILAGE ,518000.0,Tons ,0.0,40.97,21221000.0
557,2017,47,CORN SILAGE ,2242000.0,Tons ,0.0,41.43,92877000.0
558,2017,65,CORN SILAGE ,21600.0,Tons ,0.0,49.95,1079000.0
559,2017,67,CORN SILAGE ,210000.0,Tons ,0.0,33.7,7077000.0
560,2017,71,CORN SILAGE ,40900.0,Tons ,0.0,49.0,2004000.0
561,2017,77,CORN SILAGE ,981000.0,Tons ,0.0,31.14,30546000.0
562,2017,97,CORN SILAGE ,3420.0,Tons ,0.01,49.71,170000.0
563,2017,99,CORN SILAGE ,2388000.0,Tons ,0.0,41.0,97908000.0
564,2017,103,CORN SILAGE ,15800.0,Tons ,0.0,33.16,524000.0
565,2017,107,CORN SILAGE ,3594000.0,Tons ,0.0,44.8,161011000.0
568,2017,13,CORN SWEET ALL ,37500.0,Tons ,0.01,506.0,18975000.0
569,2017,19,CORN SWEET ALL ,47400.0,Tons ,0.01,487.0,23084000.0
570,2017,25,CORN SWEET ALL ,60500.0,Tons ,0.01,640.56,38754000.0
571,2017,65,CORN SWEET ALL ,15200.0,Tons ,0.04,577.76,8782000.0
572,2017,67,CORN SWEET ALL ,2390.0,Tons ,0.13,310.46,742000.0
573,2017,71,CORN SWEET ALL ,479.0,Tons ,1.21,578.29,277000.0
574,2017,77,CORN SWEET ALL ,19600.0,Tons ,0.01,268.88,5270000.0
575,2017,85,CORN SWEET ALL ,14900.0,Tons ,0.03,472.42,7039000.0
576,2017,107,CORN SWEET ALL ,3730.0,Tons ,0.09,341.02,1272000.0
577,2017,111,CORN SWEET ALL ,2760.0,Tons ,0.22,615.22,1698000.0
578,2017,991,CORN SWEET ALL ,2902.0,Tons ,0.22,628.6,1824200.0
580,2017,19,COTTON LINT PIMA ,51700.0,Tons ,0.05,2797.83,144648000.0
581,2017,29,COTTON LINT PIMA ,18000.0,Tons ,0.18,3194.06,57493000.0
582,2017,31,COTTON LINT PIMA ,67300.0,Tons ,0.04,3012.62,202749000.0
584,2017,47,COTTON LINT UNSPECIFIED ,33900.0,Tons ,0.07,2290.29,77641000.0
585,2017,107,COTTON LINT UNSPECIFIED ,14000.0,Tons ,0.12,1721.29,24098000.0
586,2017,991,COTTON LINT UNSPECIFIED ,1010.0,Tons ,0.73,737.62,745000.0
588,2017,19,COTTON LINT UPLAND ,2700.0,Tons ,0.7,1897.41,5123000.0
589,2017,21,COTTON LINT UPLAND ,2490.0,Tons ,0.64,1602.81,3991000.0
590,2017,25,COTTON LINT UPLAND ,3360.0,Tons ,0.47,1590.18,5343000.0
591,2017,29,COTTON LINT UPLAND ,1980.0,Tons ,0.86,1693.94,3354000.0
592,2017,31,COTTON LINT UPLAND ,7690.0,Tons ,0.21,1599.22,12298000.0
593,2017,39,COTTON LINT UPLAND ,643.0,Tons ,3.2,2060.65,1325000.0
594,2017,65,COTTON LINT UPLAND ,9770.0,Tons ,0.14,1380.04,13483000.0
605,2017,991,COTTONSEED ,779.0,Tons ,4.25,3313.22,2581000.0
607,2017,73,CUCUMBERS ,1020.0,Tons ,1.14,1161.76,1185000.0
608,2017,77,CUCUMBERS ,24300.0,Tons ,0.01,180.53,4387000.0
609,2017,107,CUCUMBERS ,232.0,Tons ,5.0,1159.48,269000.0
610,2017,111,CUCUMBERS ,5650.0,Tons ,0.44,2467.08,13939000.0
611,2017,991,CUCUMBERS ,1013.0,Tons ,1.08,1094.67,1108900.0
613,2017,25,DATES ,9080.0,Tons ,0.31,2831.72,25712000.0
614,2017,65,DATES ,23300.0,Tons ,0.09,2158.41,50291000.0
616,2017,19,EGGPLANT ALL ,16900.0,Tons ,0.05,838.99,14179000.0
617,2017,65,EGGPLANT ALL ,6910.0,Tons ,0.14,950.07,6565000.0
618,2017,991,EGGPLANT ALL ,527.0,Tons ,1.18,621.46,327510.0
640,2017,53,ENDIVE ALL ,4130.0,Tons ,0.24,998.79,4125000.0
641,2017,991,ENDIVE ALL ,1070.0,Tons ,0.58,625.23,669000.0
643,2017,53,ESCAROLE ALL ,2230.0,Tons ,0.52,1157.4,2581000.0
699,2017,39,FIGS DRIED ,7990.0,Tons ,0.26,2064.46,16495000.0
700,2017,991,FIGS DRIED ,1263.0,Tons ,2.97,3754.62,4742090.0
824,2017,19,GARLIC ALL ,135000.0,Tons ,0.01,1070.0,144450000.0
825,2017,29,GARLIC ALL ,41300.0,Tons ,0.04,1526.66,63051000.0
826,2017,65,GARLIC ALL ,1240.0,Tons ,0.85,1050.0,1302000.0
827,2017,85,GARLIC ALL ,3880.0,Tons ,0.36,1402.32,5441000.0
828,2017,991,GARLIC ALL ,1808.0,Tons ,0.58,1051.95,1901930.0
846,2017,25,GRAPEFRUIT ALL ,8190.0,Tons ,0.07,560.44,4590000.0
847,2017,29,GRAPEFRUIT ALL ,10400.0,Tons ,0.09,913.27,9498000.0
848,2017,65,GRAPEFRUIT ALL ,66500.0,Tons ,0.01,482.93,32115000.0
849,2017,71,GRAPEFRUIT ALL ,300.0,Tons ,1.27,380.0,114000.0
850,2017,73,GRAPEFRUIT ALL ,23300.0,Tons ,0.03,740.17,17246000.0
851,2017,107,GRAPEFRUIT ALL ,34200.0,Tons ,0.02,728.01,24898000.0
852,2017,111,GRAPEFRUIT ALL ,220.0,Tons ,12.81,2818.18,620000.0
855,2017,19,GRAPES RAISIN ,681000.0,Tons ,0.0,396.94,270315000.0
856,2017,29,GRAPES RAISIN ,232000.0,Tons ,0.0,483.23,112110000.0
857,2017,31,GRAPES RAISIN ,23600.0,Tons ,0.01,340.42,8034000.0
858,2017,39,GRAPES RAISIN ,286000.0,Tons ,0.0,379.82,108628000.0
859,2017,107,GRAPES RAISIN ,128000.0,Tons ,0.01,722.21,92443000.0
860,2017,991,GRAPES RAISIN ,21600.0,Tons ,0.02,454.86,9825000.0
862,2017,19,GRAPES TABLE ,277000.0,Tons ,0.0,1364.99,378101000.0
863,2017,29,GRAPES TABLE ,767000.0,Tons ,0.0,2019.83,1549210000.0
864,2017,31,GRAPES TABLE ,10800.0,Tons ,0.16,1757.04,18976000.0
865,2017,39,GRAPES TABLE ,32100.0,Tons ,0.06,1997.85,64131000.0
866,2017,65,GRAPES TABLE ,49400.0,Tons ,0.05,2388.81,118007000.0
867,2017,107,GRAPES TABLE ,442000.0,Tons ,0.0,1723.54,761803000.0
868,2017,991,GRAPES TABLE ,16.0,Tons ,93.75,1500.0,24000.0
870,2017,21,GRAPES UNSPECIFIED ,2020.0,Tons ,0.53,1078.22,2178000.0
871,2017,99,GRAPES UNSPECIFIED ,92400.0,Tons ,0.01,462.36,42722000.0
872,2017,103,GRAPES UNSPECIFIED ,698.0,Tons ,2.34,1633.24,1140000.0
873,2017,991,GRAPES UNSPECIFIED ,817.0,Tons ,3.58,2924.97,2389700.0
875,2017,1,GRAPES WINE ,12300.0,Tons ,0.12,1447.32,17802000.0
876,2017,5,GRAPES WINE ,16200.0,Tons ,0.09,1418.7,22983000.0
877,2017,9,GRAPES WINE ,2010.0,Tons ,0.74,1479.1,2973000.0
878,2017,11,GRAPES WINE ,17400.0,Tons ,0.04,773.1,13452000.0
879,2017,13,GRAPES WINE ,12900.0,Tons ,0.07,924.03,11920000.0
